Student,LPIPS,SSIM
109590003.png,0.0,1.0
109590022.png,0.46125566959381104,0.875733872851362
109590012.png,0.48613229393959045,0.8655002058232275
112598040.png,0.48792099952697754,0.8795275626965215
109590002.png,0.4903196096420288,0.8552449762782051
107590028.png,0.502181887626648,0.8435799891393994
108590062.png,0.5099150538444519,0.8930100083359048
